name,age,gender,occupation,marital_status,education_level,annual_income,residential_location,vehicle_make,vehicle_age,engine_size,mileage_driven_annually,accident_history,traffic_violations,claims_history,license_duration
EYMEW,13,M,Student,Married,Master,20000,Rural,Nissan,5,3.5,17000,2,1,3,19
OLPFM,24,F,Retired,Widowed,Master,90000,Suburban,BMW,7,2,11000,0,0,0,17
BXGCC,58,M,Manager,Divorced,None,30000,Rural,Nissan,12,3.5,19000,2,3,3,5
LPRML,38,M,Architect,Married,PhD,75000,Suburban,Honda,8,4,14000,3,0,1,17
KFBXM,27,M,Student,Married,Master,55000,Rural,Ford,2,2.5,16000,3,0,1,15
XOTRL,40,M,Architect,Single,None,40000,Rural,Mercedes,8,2,14000,1,0,2,29
UWUYW,57,M,Artist,Single,Bachelor,20000,Rural,Chevrolet,6,2.5,9000,3,3,3,24
NHWFF,23,F,Engineer,Single,PhD,140000,Rural,Honda,12,3,8000,2,4,0,1
BOBTA,18,M,Manager,Married,PhD,115000,Urban,Toyota,13,2.5,19000,0,4,2,31
ONNRI,34,F,Artist,Widowed,PhD,80000,Urban,Audi,7,2,13000,1,3,1,20
VWESO,48,F,Architect,Married,Bachelor,40000,Rural,Honda,2,3,12000,2,4,0,8
CZFJI,68,M,Student,Single,PhD,120000,Urban,Tesla,1,2,14000,0,1,0,9
UJZBQ,38,M,Manager,Widowed,Bachelor,95000,Rural,Mercedes,4,2.5,13000,3,4,3,36
DPRQC,18,M,Manager,Single,None,110000,Suburban,Mercedes,9,1.5,14000,3,3,3,2
HNGIS,60,F,Retired,Divorced,PhD,70000,Rural,Mercedes,12,2.5,17000,0,4,0,34
KWNTK,60,M,Doctor,Divorced,None,105000,Rural,BMW,2,2,11000,1,2,1,32
ZFMGB,50,F,Architect,Single,None,30000,Suburban,Toyota,11,1.5,7000,1,4,2,21
JDXXB,66,F,Retired,Divorced,Master,45000,Urban,Chevrolet,7,4,15000,3,0,0,11
XSTUR,33,F,Student,Married,PhD,140000,Urban,Toyota,7,1.5,10000,1,4,2,35
PMBID,68,M,Architect,Married,PhD,55000,Suburban,Mercedes,14,4,16000,1,2,2,39
VFZPH,25,F,Retired,Single,PhD,20000,Urban,Audi,11,3,10000,1,2,0,38
SBANF,33,F,Engineer,Divorced,Bachelor,35000,Urban,Ford,12,2,8000,0,1,2,4
EEVOW,24,F,Teacher,Single,None,20000,Rural,Tesla,5,3.5,5000,2,3,3,30
YIRBM,61,M,Doctor,Single,PhD,110000,Urban,BMW,7,3.5,10000,3,0,3,20
KVPBE,34,F,Architect,Married,PhD,85000,Rural,BMW,6,1.5,18000,1,4,2,30
TEZLT,32,M,Architect,Widowed,Master,145000,Rural,Tesla,5,1.5,19000,0,3,3,1
CHSTZ,58,F,Artist,Married,None,85000,Rural,Toyota,10,1.5,11000,0,0,1,14
KNWUS,24,F,Artist,Married,Master,45000,Suburban,Audi,7,1.5,14000,3,2,0,37
UWKSV,64,M,Doctor,Widowed,Bachelor,70000,Rural,Honda,10,2,12000,1,2,1,4
FOFMZ,47,M,Teacher,Single,Bachelor,45000,Rural,Audi,7,2.5,12000,1,3,1,30
CCGGY,28,F,Artist,Single,Master,55000,Rural,Honda,5,4,16000,3,3,2,7
CCQTD,24,F,Student,Single,Bachelor,110000,Suburban,Nissan,14,3.5,12000,2,0,3,26
BDUDB,55,F,Artist,Widowed,None,20000,Suburban,Tesla,4,2,6000,0,4,2,35
IWGGC,42,M,Student,Widowed,PhD,115000,Suburban,Audi,1,1.5,5000,3,3,0,23
ACXPV,38,M,Teacher,Married,None,110000,Rural,Audi,3,4,11000,0,0,2,23
JKMMO,43,M,Teacher,Divorced,Master,100000,Suburban,Chevrolet,4,1.5,13000,0,4,3,4
ENAXO,30,F,Doctor,Single,PhD,50000,Urban,Ford,7,3,9000,3,2,3,12
ODZED,61,F,Artist,Single,PhD,80000,Rural,Audi,12,3,7000,1,1,0,26
UJLIT,42,M,Doctor,Widowed,Master,90000,Rural,Honda,9,1.5,5000,3,2,3,26
GYTJR,19,F,Engineer,Single,Bachelor,80000,Urban,Nissan,8,1.5,12000,1,2,2,3
WOZAY,20,F,Engineer,Divorced,Master,55000,Rural,Audi,14,3,19000,3,2,0,20
JKGJN,18,F,Doctor,Single,PhD,35000,Rural,Mercedes,6,2,15000,0,1,2,7
WKPFG,21,M,Artist,Widowed,Master,30000,Rural,Mercedes,13,1.5,11000,1,4,0,33
FSZAU,53,M,Engineer,Married,PhD,100000,Rural,Honda,13,2,9000,1,4,3,2
KBWRR,37,M,Lawyer,Widowed,PhD,115000,Urban,Mercedes,8,2,16000,1,1,3,36
YJWLW,52,M,Lawyer,Single,Master,130000,Urban,Chevrolet,13,3,9000,0,0,2,29
RNJTP,63,M,Student,Divorced,PhD,65000,Suburban,BMW,12,3,18000,0,4,3,14
KLSIQ,47,M,Architect,Married,None,140000,Rural,Honda,1,4,14000,3,3,2,9
PRZPD,36,F,Engineer,Married,Bachelor,100000,Suburban,Mercedes,2,3.5,7000,2,3,2,7
UOWYQ,19,M,Retired,Married,Bachelor,125000,Rural,Tesla,9,3.5,5000,3,0,2,33
RAFAZ,30,F,Engineer,Married,Master,100000,Rural,Nissan,3,4,5000,0,0,1,12
DXTZB,51,F,Manager,Widowed,None,110000,Suburban,Toyota,7,3.5,15000,3,3,1,38
CQAJP,27,M,Architect,Widowed,Master,125000,Suburban,Audi,3,4,18000,2,3,2,30
VEVXN,59,F,Student,Widowed,None,85000,Rural,Tesla,8,2.5,8000,2,4,0,21
PIQOQ,61,F,Student,Widowed,Bachelor,80000,Suburban,Tesla,11,3,10000,3,2,1,21
NAVSA,68,M,Doctor,Widowed,Master,30000,Suburban,Toyota,12,3.5,13000,0,1,0,13
LJSEJ,50,F,Teacher,Divorced,None,135000,Urban,Toyota,12,4,15000,2,0,3,35
CLJCM,29,M,Retired,Widowed,Bachelor,40000,Urban,Chevrolet,11,1.5,16000,3,3,0,21
CKUUR,38,F,Manager,Married,Master,50000,Urban,Tesla,7,4,16000,3,1,1,30
YKHVH,24,M,Student,Widowed,Bachelor,55000,Suburban,Ford,3,2.5,18000,1,4,0,33
CFJQN,35,M,Architect,Divorced,PhD,40000,Rural,Toyota,13,4,11000,0,0,3,11
XTKUO,43,M,Doctor,Divorced,Bachelor,50000,Urban,Toyota,7,2.5,18000,2,3,3,19
CBHUW,29,M,Retired,Widowed,Master,70000,Suburban,Toyota,6,4,6000,3,0,0,2
YNARA,19,F,Teacher,Divorced,None,30000,Suburban,Mercedes,5,3,11000,1,1,1,17
MVLTJ,51,F,Artist,Widowed,Master,125000,Suburban,BMW,7,3.5,17000,2,3,0,6
QDFEE,27,M,Retired,Divorced,None,55000,Suburban,BMW,14,3.5,13000,3,1,2,21
GWBAF,35,M,Retired,Widowed,Master,45000,Urban,Chevrolet,5,3,18000,1,1,0,24
EFSGB,65,M,Engineer,Widowed,Master,110000,Suburban,Audi,6,3.5,14000,1,4,2,26
QQLJZ,56,F,Artist,Widowed,Master,65000,Suburban,Nissan,6,2.5,8000,3,3,0,9
YKHJJ,37,M,Architect,Single,PhD,85000,Rural,Chevrolet,9,2.5,6000,2,4,0,29
NZPWD,25,M,Retired,Widowed,Bachelor,55000,Suburban,Chevrolet,2,1.5,15000,0,2,0,1
MTKPZ,48,M,Engineer,Divorced,None,75000,Rural,Nissan,8,2.5,11000,0,2,0,31
MMDCJ,67,F,Artist,Widowed,Bachelor,120000,Suburban,Toyota,7,3.5,10000,2,1,2,10
SBXPX,60,M,Retired,Divorced,None,45000,Rural,Audi,9,3.5,10000,0,3,3,3
QTQQP,62,M,Doctor,Single,PhD,65000,Suburban,BMW,9,4,8000,2,2,3,4
ZOIWI,61,F,Architect,Divorced,PhD,65000,Urban,Mercedes,7,3.5,5000,1,3,1,36
NTYXB,46,F,Doctor,Widowed,Master,55000,Suburban,Mercedes,14,2.5,9000,0,1,0,39
WUOVI,33,F,Engineer,Widowed,Master,85000,Urban,Honda,1,3,18000,2,1,1,22
GKTGJ,25,F,Manager,Single,Bachelor,100000,Rural,Chevrolet,14,3.5,14000,2,2,1,16
FFHRZ,61,M,Artist,Married,Bachelor,65000,Rural,Audi,6,2.5,10000,1,3,2,18
VEDTT,60,M,Architect,Widowed,Master,50000,Rural,Audi,11,4,17000,0,1,0,25
DJUVH,27,M,Architect,Single,PhD,55000,Suburban,BMW,2,1.5,16000,0,0,3,15
GPNVH,36,M,Teacher,Widowed,PhD,35000,Urban,Nissan,9,3,11000,2,4,0,5
HKCQR,37,M,Architect,Married,None,40000,Urban,Tesla,4,3,15000,1,2,1,11
WRBDM,21,M,Doctor,Divorced,PhD,130000,Urban,Chevrolet,6,3.5,7000,0,4,3,19
XFXYK,60,M,Teacher,Widowed,None,55000,Urban,BMW,2,2,5000,1,0,3,29
FSUXZ,36,F,Architect,Divorced,Bachelor,120000,Urban,Mercedes,1,3.5,16000,2,1,2,31
KETYF,51,M,Artist,Married,None,105000,Rural,Toyota,2,2,17000,1,3,2,29
BOQTK,21,F,Teacher,Divorced,Bachelor,35000,Rural,Ford,5,2,11000,1,2,0,17
CLBSB,23,F,Engineer,Single,PhD,100000,Suburban,Toyota,1,3,7000,0,1,1,36
TWQQJ,22,M,Doctor,Widowed,Bachelor,20000,Urban,Audi,10,3,16000,0,3,2,5
MUKIU,46,M,Doctor,Married,Master,55000,Suburban,Nissan,1,4,17000,3,4,3,14
MMLEJ,63,M,Artist,Married,Master,65000,Rural,Toyota,10,3,11000,0,1,1,23
UNAPF,27,F,Artist,Married,None,105000,Urban,Nissan,5,3,18000,1,3,0,34
OFRVU,59,F,Student,Single,PhD,130000,Rural,Ford,14,2.5,17000,2,4,3,30
QTMJA,60,F,Engineer,Single,PhD,70000,Suburban,Audi,9,3,16000,0,3,1,14
PUEML,43,F,Doctor,Widowed,None,105000,Rural,Mercedes,7,1.5,19000,0,4,0,16
UIDBE,28,M,Doctor,Divorced,PhD,125000,Rural,Nissan,11,3,11000,0,1,3,15
CDVEM,30,M,Student,Married,Bachelor,60000,Suburban,Chevrolet,12,1.5,11000,0,4,0,19
ENVUF,20,M,Architect,Married,None,25000,Suburban,Nissan,11,2.5,17000,1,3,2,20
BPFGS,64,M,Teacher,Widowed,None,45000,Rural,Honda,4,1.5,7000,0,3,2,31
NTPHC,56,M,Retired,Widowed,Bachelor,75000,Suburban,Toyota,8,4,19000,3,1,1,26
RSAFY,69,M,Doctor,Widowed,Master,80000,Rural,BMW,2,4,10000,2,0,0,29
MECPK,50,M,Student,Single,Bachelor,120000,Rural,Nissan,14,1.5,8000,3,3,0,18
RCZZM,47,F,Doctor,Married,Master,120000,Suburban,Ford,3,2.5,15000,0,0,3,13
EUDAE,18,F,Teacher,Divorced,None,115000,Rural,BMW,13,2.5,12000,0,1,1,28
ICIQB,31,F,Doctor,Widowed,Bachelor,105000,Rural,Toyota,8,4,18000,1,4,1,20
RYOTB,54,M,Engineer,Married,Master,135000,Suburban,BMW,3,4,18000,3,3,0,23
VJUDW,37,F,Manager,Widowed,Bachelor,145000,Urban,Nissan,8,2,10000,3,3,2,12
WZYFI,34,M,Lawyer,Married,None,35000,Suburban,Tesla,11,3,9000,3,1,1,20
YVCZD,30,M,Architect,Widowed,None,40000,Rural,Audi,5,2,5000,2,1,3,32
KCIVO,65,M,Retired,Single,Master,105000,Suburban,Mercedes,7,3.5,15000,0,4,0,27
XLZRW,21,M,Student,Married,Bachelor,140000,Rural,BMW,3,3,7000,3,4,2,30
DQHFY,60,F,Engineer,Divorced,None,100000,Urban,Toyota,4,3.5,13000,1,3,3,19
XIIXP,57,F,Retired,Divorced,Master,110000,Suburban,Honda,7,4,15000,3,0,3,37
VPGWJ,24,F,Architect,Widowed,None,110000,Urban,Honda,14,1.5,13000,2,0,3,14
APZDT,31,M,Lawyer,Divorced,None,65000,Urban,Chevrolet,4,4,17000,3,0,2,13
MUQDJ,25,F,Student,Married,PhD,35000,Rural,Toyota,10,3,8000,0,3,0,26
EZJCG,52,M,Manager,Single,PhD,135000,Suburban,BMW,11,4,12000,1,2,3,31
EOABD,20,M,Architect,Married,PhD,135000,Rural,Honda,9,3,6000,2,1,2,11
JCXAR,19,M,Artist,Widowed,Bachelor,110000,Rural,Audi,6,2,19000,2,3,1,31
EKSPX,69,M,Student,Divorced,Master,90000,Urban,Toyota,9,3.5,14000,3,0,3,6
