name,age,gender,occupation,marital_status,education_level,annual_income,residential_location,vehicle_make,vehicle_age,engine_size,mileage_driven_annually,accident_history,traffic_violations,claims_history,license_duration,risk
RGZPR,18,M,Manager,Divorced,PhD,30000,Rural,Nissan,10,3.0,10000,0,3,0,21,High
PBGBN,28,M,Architect,Divorced,Bachelor,40000,Suburban,Chevrolet,14,2.0,13000,3,2,1,8,Medium
RVUVU,34,M,Doctor,Widowed,PhD,35000,Rural,Toyota,14,2.5,10000,3,1,0,18,Medium
XQZEK,20,M,Doctor,Single,Bachelor,75000,Suburban,Toyota,12,1.5,17000,0,2,0,13,Low
IFJQX,27,M,Lawyer,Married,Master,135000,Urban,Tesla,5,1.5,12000,3,1,0,33,Medium
GNHAS,51,M,Retired,Married,Bachelor,130000,Rural,Chevrolet,13,3.0,9000,2,1,3,4,Medium
SOTYO,56,F,Architect,Widowed,Bachelor,70000,Rural,Chevrolet,12,2.0,15000,2,0,3,2,Medium
XZTHA,48,M,Engineer,Married,None,70000,Suburban,Toyota,8,2.5,17000,1,0,3,8,High
BHTPM,49,F,Retired,Single,PhD,50000,Suburban,BMW,1,3.0,12000,3,2,0,18,High
MVYRY,48,F,Manager,Married,Master,145000,Urban,Toyota,14,3.5,10000,0,4,2,20,Low
OQJHO,43,M,Teacher,Divorced,Master,145000,Suburban,Nissan,10,4.0,6000,1,4,0,9,Low
LKLNL,64,F,Artist,Widowed,PhD,140000,Suburban,Chevrolet,11,2.0,17000,2,3,1,12,Low
MHKBU,69,M,Teacher,Widowed,Bachelor,60000,Urban,Chevrolet,9,2.5,14000,1,3,1,11,Low
CEHOO,41,M,Doctor,Divorced,Master,30000,Urban,Toyota,14,4.0,18000,3,2,1,30,Low
MVJLD,59,M,Engineer,Divorced,PhD,60000,Urban,Mercedes,7,1.5,10000,1,0,1,23,Medium
NMNYM,54,F,Architect,Widowed,Bachelor,55000,Rural,Mercedes,6,2.5,16000,2,3,1,30,Medium
VYTSB,60,F,Architect,Widowed,PhD,130000,Rural,Honda,13,3.0,17000,2,1,2,21,Low
JBHWH,18,M,Retired,Widowed,Master,90000,Urban,Ford,8,3.5,18000,0,3,2,1,Medium
HZNVR,68,F,Doctor,Divorced,Master,60000,Urban,Toyota,7,1.5,12000,2,4,3,7,Low
IXZXN,63,F,Engineer,Married,Master,40000,Suburban,Audi,7,2.0,11000,2,1,0,20,Low
JPBHA,45,F,Teacher,Divorced,PhD,80000,Urban,Toyota,2,2.0,15000,2,3,2,8,Low
YWIIQ,59,M,Doctor,Single,PhD,115000,Urban,Honda,3,3.5,8000,2,0,3,35,Medium
WPHVL,30,F,Retired,Married,Master,30000,Urban,Toyota,12,3.0,9000,2,4,3,19,Low
IJSGQ,39,M,Lawyer,Single,Bachelor,90000,Rural,Honda,5,3.5,18000,1,2,3,31,Low
WIAZW,20,M,Retired,Married,Master,70000,Urban,Tesla,12,2.5,16000,0,0,0,17,Medium
VOVYX,36,M,Artist,Married,PhD,95000,Suburban,Toyota,3,2.5,15000,0,3,3,8,Low
SBWPD,39,M,Architect,Widowed,Bachelor,100000,Suburban,Honda,4,3.5,12000,2,1,0,14,Low
GFKLQ,43,M,Student,Single,PhD,90000,Urban,Mercedes,12,3.0,14000,1,1,0,18,Low
GACHD,40,M,Artist,Widowed,PhD,90000,Rural,BMW,7,2.0,19000,3,1,2,2,Low
XKBGB,45,M,Artist,Married,PhD,80000,Suburban,Tesla,1,2.5,7000,0,1,2,13,Low
RFOYD,48,F,Doctor,Widowed,Bachelor,120000,Rural,Mercedes,7,3.0,10000,3,1,3,6,High
LDIER,60,M,Lawyer,Divorced,PhD,65000,Urban,Ford,9,3.5,14000,2,3,0,4,Low
QNRJH,69,M,Doctor,Widowed,Bachelor,100000,Suburban,Audi,10,2.0,16000,2,0,3,35,Low
QPUYQ,65,M,Teacher,Married,Master,65000,Suburban,Ford,6,3.0,5000,1,0,1,35,Low
RRHIG,20,F,Architect,Divorced,Bachelor,55000,Suburban,BMW,5,2.5,9000,2,2,2,18,Low
MBOWT,58,F,Architect,Divorced,Master,70000,Urban,Tesla,11,2.0,5000,0,0,1,32,Low
UGXHP,68,M,Teacher,Married,None,85000,Rural,Toyota,12,3.0,11000,1,4,2,11,Low
ETXKL,20,F,Engineer,Widowed,Master,95000,Urban,Honda,4,2.5,6000,3,1,0,3,Low
YGVEO,32,M,Retired,Single,Master,95000,Urban,Audi,10,3.5,6000,3,4,1,23,Medium
GZXFW,23,F,Engineer,Single,None,45000,Rural,Mercedes,6,2.0,19000,3,0,1,21,Low
EVZFT,23,F,Student,Widowed,Master,35000,Suburban,Tesla,9,3.5,7000,0,1,1,8,Low
NSDIF,54,M,Manager,Single,PhD,20000,Urban,Nissan,4,2.0,17000,3,1,1,35,Low
YFQLZ,54,F,Retired,Married,Bachelor,55000,Rural,Toyota,14,1.5,19000,1,2,0,39,Low
RYOWK,37,F,Student,Married,Bachelor,135000,Urban,Audi,13,3.0,9000,0,3,2,13,Medium
MHQKW,44,M,Lawyer,Divorced,Master,105000,Urban,Honda,14,2.0,18000,1,3,2,17,Low
FJPET,54,F,Teacher,Married,Bachelor,100000,Urban,Nissan,1,3.0,10000,2,3,3,20,Low
TSBBN,52,M,Teacher,Widowed,Master,60000,Suburban,Ford,13,3.5,7000,2,1,3,8,Low
DUDBA,58,M,Engineer,Widowed,None,50000,Rural,Mercedes,7,2.5,10000,0,0,0,30,High
ODFAD,51,F,Engineer,Married,PhD,140000,Urban,BMW,13,1.5,18000,2,0,2,12,Low
ZYVVE,62,M,Artist,Single,PhD,55000,Suburban,Mercedes,9,2.0,5000,2,3,1,6,Low
ZSAXW,26,F,Retired,Single,PhD,100000,Urban,Audi,9,4.0,15000,3,4,3,19,High
UHGZX,48,M,Artist,Single,None,30000,Rural,Nissan,13,4.0,12000,1,3,3,25,Low
PVUPV,36,F,Doctor,Married,Master,40000,Urban,Nissan,4,3.0,19000,2,1,0,37,Low
GMHZM,38,M,Engineer,Widowed,Master,55000,Urban,Mercedes,13,4.0,18000,3,3,1,22,High
MABNF,62,F,Artist,Single,Master,70000,Rural,Audi,2,2.5,7000,1,2,3,19,High
TOLUZ,47,M,Retired,Widowed,Bachelor,75000,Suburban,Honda,13,2.0,8000,0,1,0,6,High
IDBBI,32,F,Engineer,Single,PhD,100000,Urban,Audi,8,4.0,17000,0,4,1,22,Low
JIGYZ,44,F,Lawyer,Married,Bachelor,90000,Suburban,Chevrolet,8,2.0,13000,2,2,2,4,Low
MYOMA,50,M,Doctor,Widowed,Master,80000,Suburban,Audi,2,3.5,12000,0,1,2,31,Low
CBDZN,57,F,Architect,Widowed,Master,65000,Urban,Chevrolet,8,4.0,6000,0,2,2,11,Low
BUUZM,68,M,Lawyer,Single,PhD,140000,Suburban,Ford,6,4.0,13000,0,1,2,13,Low
IGREF,47,F,Retired,Divorced,PhD,95000,Urban,Mercedes,3,2.5,12000,0,2,0,34,Low
GUTCC,55,M,Engineer,Single,Bachelor,55000,Rural,Honda,4,4.0,13000,1,4,1,7,Low
UDBOQ,66,F,Architect,Divorced,PhD,40000,Urban,Audi,8,2.5,15000,1,0,3,39,Low
HHPGL,42,F,Manager,Divorced,Bachelor,135000,Urban,Chevrolet,8,4.0,8000,3,1,2,17,Low
BJYIE,29,F,Architect,Married,Master,45000,Urban,BMW,7,4.0,17000,3,4,1,9,Medium
