name,age,gender,occupation,marital_status,education_level,annual_income,residential_location,vehicle_make,vehicle_age,engine_size,mileage_driven_annually,accident_history,traffic_violations,claims_history,license_duration,risk
ECDOC,34,F,Student,Married,Master,20000,Suburban,Nissan,3,4.0,16000,0,2,1,22,High
TRHGS,32,F,Manager,Divorced,Bachelor,40000,Rural,Chevrolet,5,3.5,12000,1,4,2,35,Medium
MCRYE,39,M,Retired,Widowed,Master,50000,Suburban,Nissan,9,2.0,10000,2,2,1,36,Medium
RZCHZ,60,M,Student,Divorced,Bachelor,50000,Rural,Audi,12,3.5,6000,2,1,0,3,Low
SIDAI,29,F,Architect,Divorced,None,80000,Urban,Chevrolet,3,3.0,6000,2,0,3,20,Low
MNLUB,45,M,Artist,Divorced,Bachelor,35000,Urban,Mercedes,7,3.5,6000,3,1,3,8,Medium
COXUC,19,F,Student,Single,Bachelor,115000,Urban,Mercedes,7,3.0,15000,3,4,0,33,Medium
COVAF,29,F,Lawyer,Single,PhD,80000,Rural,Mercedes,8,4.0,16000,2,3,3,6,Low
DJHVP,41,M,Artist,Widowed,Bachelor,110000,Urban,Tesla,7,2.5,18000,3,4,1,32,Medium
SBWPY,46,M,Architect,Divorced,PhD,100000,Suburban,BMW,1,4.0,11000,2,3,3,36,Medium
DFOND,57,F,Lawyer,Married,PhD,20000,Urban,Honda,9,2.5,8000,0,4,0,21,Medium
TNGDT,28,M,Artist,Married,None,140000,Suburban,Audi,10,3.0,19000,3,3,1,38,Low
AXTPP,47,F,Doctor,Single,PhD,105000,Urban,BMW,14,2.5,10000,3,2,1,19,Low
UCZDI,68,F,Engineer,Single,PhD,140000,Suburban,Ford,3,3.5,14000,3,1,3,30,Medium
MIDVV,23,M,Doctor,Married,None,60000,Urban,Chevrolet,1,2.5,14000,2,1,3,35,High
LBARL,26,M,Architect,Single,Bachelor,45000,Urban,Tesla,4,2.5,13000,0,4,1,34,Medium
ACCNT,27,M,Teacher,Divorced,None,135000,Suburban,Ford,6,2.0,15000,2,2,0,8,Low
LJMRC,58,F,Teacher,Widowed,Bachelor,140000,Urban,Honda,7,1.5,19000,3,1,2,1,Low
CPFZA,23,F,Artist,Widowed,Bachelor,25000,Rural,Chevrolet,12,3.5,17000,0,0,1,21,High
WCPJZ,21,M,Student,Married,Bachelor,105000,Suburban,Audi,12,2.0,8000,3,4,2,18,Medium
OCLME,45,F,Manager,Single,PhD,55000,Urban,Mercedes,13,3.5,18000,1,0,1,5,High
DZAGX,35,M,Lawyer,Married,Master,140000,Suburban,Tesla,2,2.5,18000,1,2,3,32,Medium
YXDYC,30,F,Teacher,Married,None,95000,Urban,Toyota,6,2.0,13000,1,3,2,15,Low
MYRBW,40,F,Student,Married,PhD,20000,Urban,BMW,12,1.5,9000,2,3,1,31,Low
XKKHJ,19,M,Teacher,Single,Bachelor,25000,Urban,Tesla,8,2.0,6000,1,0,0,4,High
PRMRI,19,M,Doctor,Divorced,PhD,45000,Suburban,Tesla,9,1.5,9000,3,1,3,28,Low
UWFDE,33,M,Architect,Widowed,Bachelor,55000,Rural,Honda,14,1.5,10000,0,4,2,6,Medium
QVTNS,45,M,Student,Divorced,PhD,115000,Urban,Audi,1,3.0,13000,1,0,1,21,High
YGLXC,23,F,Doctor,Widowed,Bachelor,80000,Urban,Chevrolet,9,4.0,12000,3,3,2,29,Low
BFBVE,25,F,Artist,Widowed,Bachelor,120000,Urban,Ford,8,3.0,11000,0,4,2,32,Medium
UXNRG,42,M,Manager,Widowed,Bachelor,95000,Suburban,Nissan,7,2.5,16000,0,3,2,37,Medium
YYYHZ,59,F,Retired,Widowed,Master,20000,Suburban,Nissan,3,2.5,9000,2,1,0,17,Medium
RBNJQ,53,M,Architect,Married,Master,55000,Suburban,Chevrolet,11,1.5,19000,1,1,0,2,Medium
MAFSG,52,M,Architect,Widowed,Bachelor,105000,Urban,Tesla,11,2.5,12000,0,0,1,25,Medium
YUTJQ,68,F,Artist,Married,PhD,40000,Suburban,Chevrolet,2,2.0,8000,2,0,3,15,High
IZFPE,61,M,Artist,Widowed,Master,125000,Urban,Chevrolet,5,3.0,6000,0,3,2,34,High
JIOJO,49,M,Manager,Widowed,PhD,135000,Suburban,Mercedes,4,2.0,11000,2,2,1,1,Medium
CALPK,50,F,Lawyer,Single,None,110000,Urban,Mercedes,2,3.0,17000,0,1,1,4,High
LHENN,19,F,Student,Divorced,PhD,130000,Urban,Audi,4,2.5,8000,2,0,2,25,Medium
IXTHM,50,F,Manager,Married,Master,35000,Urban,Ford,7,3.0,14000,2,1,3,19,Low
MDAEY,20,F,Lawyer,Single,Master,100000,Urban,Chevrolet,7,4.0,14000,2,4,0,4,Low
WZXIN,34,F,Manager,Widowed,PhD,40000,Rural,Mercedes,6,2.5,19000,3,4,0,18,High
ODJPJ,55,M,Artist,Divorced,Bachelor,95000,Rural,Audi,3,2.5,5000,0,4,3,30,High
