age,gender,occupation,marital_status,education_level,annual_income,residential_location,vehicle_make,vehicle_age,engine_size,mileage_driven_annually,accident_history,traffic_violations,claims_history,license_duration,risk
37,M,Manager,Divorced,Bachelor,100000,Suburban,Ford,7,3.5,13000,1,4,3,15,High
65,M,Architect,Single,PhD,95000,Suburban,BMW,13,3.0,15000,3,4,0,29,High
52,F,Teacher,Single,None,140000,Urban,Ford,1,1.5,8000,1,4,2,26,High
67,F,Manager,Single,Bachelor,135000,Suburban,BMW,9,4.0,16000,3,0,0,38,High
60,M,Student,Widowed,PhD,120000,Suburban,Nissan,6,3.0,15000,2,2,1,33,High
55,M,Student,Widowed,None,120000,Urban,Toyota,7,4.0,10000,1,2,1,20,Medium
57,F,Lawyer,Single,PhD,115000,Urban,Chevrolet,4,4.0,19000,2,2,1,29,High
50,F,Architect,Married,PhD,80000,Urban,Mercedes,14,4.0,12000,2,2,3,17,High
34,F,Retired,Married,None,95000,Rural,Mercedes,8,3.5,12000,0,2,3,19,High
56,F,Architect,Widowed,Master,110000,Urban,Tesla,7,4.0,7000,3,3,0,28,High
20,F,Artist,Single,PhD,130000,Suburban,Honda,5,3.5,19000,3,4,3,4,High
51,F,Student,Single,Master,80000,Rural,Mercedes,10,2.5,8000,0,2,3,35,High
48,M,Artist,Married,None,75000,Urban,Nissan,6,4.0,12000,1,0,3,39,High
35,F,Lawyer,Widowed,Master,50000,Urban,Chevrolet,8,3.0,12000,0,3,2,12,High
64,F,Engineer,Married,Bachelor,125000,Urban,Ford,8,1.5,15000,0,4,3,20,High
65,M,Teacher,Married,PhD,90000,Urban,Mercedes,1,3.0,15000,1,4,0,35,High
32,M,Artist,Widowed,Master,65000,Urban,Tesla,6,3.5,18000,1,0,2,7,High
27,M,Lawyer,Single,None,45000,Suburban,Chevrolet,12,4.0,18000,3,0,2,27,High
28,F,Artist,Widowed,PhD,30000,Rural,BMW,4,2.0,6000,0,1,3,20,High
50,F,Teacher,Single,None,75000,Rural,Toyota,6,3.5,18000,2,0,0,38,High
20,F,Architect,Divorced,Bachelor,90000,Rural,BMW,10,4.0,11000,2,1,2,13,High
34,F,Architect,Married,Master,70000,Suburban,Honda,5,3.0,17000,0,0,3,36,High
18,M,Architect,Married,Master,40000,Urban,Toyota,1,4.0,14000,3,0,0,2,Low
19,M,Teacher,Single,None,125000,Urban,Toyota,8,3.0,9000,2,4,1,11,High
20,F,Doctor,Single,PhD,135000,Urban,Ford,9,1.5,10000,0,4,1,11,High
50,M,Retired,Widowed,None,30000,Rural,Honda,9,2.0,8000,3,1,0,3,Low
40,F,Engineer,Single,Bachelor,25000,Suburban,Tesla,12,3.0,9000,3,2,3,14,High
23,M,Doctor,Single,PhD,70000,Rural,Ford,2,3.0,17000,3,1,3,35,High
37,M,Teacher,Divorced,PhD,45000,Suburban,Nissan,2,4.0,10000,2,2,1,21,Medium
57,F,Teacher,Divorced,PhD,65000,Rural,BMW,5,2.0,19000,2,2,3,35,High
56,F,Architect,Widowed,Master,135000,Suburban,Mercedes,8,2.0,8000,2,2,1,16,High
52,F,Architect,Divorced,Master,65000,Urban,Tesla,3,4.0,17000,0,1,1,28,Medium
37,F,Student,Widowed,None,115000,Suburban,Toyota,1,3.0,5000,1,1,1,21,Medium
58,F,Teacher,Married,PhD,140000,Urban,BMW,7,2.5,16000,0,0,2,16,High
51,F,Lawyer,Married,None,35000,Suburban,BMW,8,1.5,5000,1,4,2,24,High
52,M,Engineer,Married,Master,60000,Suburban,Mercedes,8,2.5,16000,1,2,3,14,High
68,M,Architect,Widowed,PhD,30000,Rural,Tesla,11,2.0,16000,2,0,3,16,High
48,M,Retired,Widowed,None,50000,Suburban,Chevrolet,7,2.5,18000,2,4,0,30,High
42,M,Doctor,Married,PhD,50000,Suburban,Nissan,14,4.0,11000,0,0,1,29,High
44,F,Teacher,Married,Master,120000,Rural,BMW,4,1.5,14000,1,2,1,24,Medium
46,F,Manager,Widowed,Bachelor,135000,Suburban,Nissan,8,3.5,6000,1,2,0,36,Medium
41,F,Teacher,Single,PhD,80000,Urban,Mercedes,7,4.0,5000,2,1,3,38,High
39,F,Lawyer,Married,Bachelor,135000,Rural,Chevrolet,4,3.5,14000,2,2,0,26,Medium
39,F,Teacher,Single,None,60000,Suburban,BMW,8,4.0,13000,0,2,0,33,Medium
32,F,Student,Divorced,None,135000,Rural,Honda,13,3.0,8000,0,0,2,25,High
53,M,Engineer,Single,None,115000,Rural,Ford,5,3.5,15000,3,2,3,28,High
54,F,Manager,Widowed,Master,20000,Suburban,Honda,13,3.5,8000,3,3,0,20,High
28,M,Lawyer,Widowed,PhD,40000,Suburban,Chevrolet,14,4.0,7000,3,4,0,23,High
41,M,Retired,Single,Bachelor,25000,Rural,Ford,8,3.0,8000,3,4,3,12,High
62,M,Manager,Married,PhD,65000,Urban,Ford,10,2.0,14000,0,4,0,33,High
61,F,Architect,Married,None,25000,Rural,Ford,8,3.5,17000,1,0,0,25,Medium
69,F,Lawyer,Widowed,PhD,45000,Rural,Chevrolet,13,2.0,16000,3,4,0,3,High
64,M,Manager,Married,Bachelor,20000,Suburban,Toyota,2,2.5,13000,3,4,3,5,High
64,M,Doctor,Divorced,PhD,30000,Urban,Honda,13,3.0,15000,1,2,0,39,High
63,F,Manager,Divorced,PhD,20000,Rural,Tesla,1,3.5,5000,0,2,1,5,Medium
37,M,Doctor,Married,None,130000,Rural,Nissan,11,2.0,19000,1,4,1,12,High
66,F,Lawyer,Divorced,Master,65000,Suburban,Chevrolet,13,3.0,12000,3,0,0,20,High
41,F,Lawyer,Divorced,PhD,80000,Urban,Ford,8,2.0,10000,0,0,3,19,High
34,F,Student,Single,Bachelor,85000,Rural,BMW,3,4.0,19000,2,3,0,26,High
39,M,Artist,Married,None,60000,Urban,Mercedes,10,2.5,17000,1,3,0,31,High
33,M,Manager,Widowed,PhD,85000,Rural,Chevrolet,12,4.0,9000,3,1,2,5,High
33,M,Lawyer,Married,None,105000,Rural,Audi,5,3.0,15000,2,0,1,24,Medium
39,F,Lawyer,Divorced,Bachelor,95000,Urban,Audi,13,4.0,10000,3,0,1,2,High
18,F,Engineer,Married,PhD,130000,Rural,Mercedes,3,3.5,14000,1,0,1,1,Medium
18,F,Doctor,Divorced,PhD,95000,Suburban,Audi,7,4.0,9000,2,4,0,15,High
65,M,Architect,Single,None,75000,Suburban,Honda,14,3.5,11000,0,1,2,39,High
