name,age,gender,occupation,marital_status,education_level,annual_income,residential_location,vehicle_make,vehicle_age,engine_size,mileage_driven_annually,accident_history,traffic_violations,claims_history,license_duration,risk_level,insurance_amount
EYMEW,31,M,Student,Married,Master,20000,Rural,Nissan,5,3.5,17000,2,1,3,19,Medium,1250
OLPFM,24,F,Retired,Widowed,Master,90000,Suburban,BMW,7,2,11000,0,0,0,17,Low,700
BXGCC,58,M,Manager,Divorced,,30000,Rural,Nissan,12,3.5,19000,2,3,3,5,High,1150
LPRML,38,M,Architect,Married,PhD,75000,Suburban,Honda,8,4,14000,3,0,1,17,Medium,950
KFBXM,27,M,Student,Married,Master,55000,Rural,Ford,2,2.5,16000,3,0,1,15,Medium,950
XOTRL,40,M,Architect,Single,,40000,Rural,Mercedes,8,2,14000,1,0,2,29,Medium,950
UWUYW,57,M,Artist,Single,Bachelor,20000,Rural,Chevrolet,6,2.5,9000,3,3,3,24,Medium,1250
NHWFF,23,F,Engineer,Single,PhD,140000,Rural,Honda,12,3,8000,2,4,0,1,Medium,1200
BOBTA,18,M,Manager,Married,PhD,115000,Urban,Toyota,13,2.5,19000,0,4,2,31,High,1050
ONNRI,34,F,Artist,Widowed,PhD,80000,Urban,Audi,7,2,13000,1,3,1,20,High,1150
VWESO,48,F,Architect,Married,Bachelor,40000,Rural,Honda,2,3,12000,2,4,0,8,Medium,1000
CZFJI,68,M,Student,Single,PhD,120000,Urban,Tesla,1,2,14000,0,1,0,9,Low,700
UJZBQ,38,M,Manager,Widowed,Bachelor,95000,Rural,Mercedes,4,2.5,13000,3,4,3,36,Low,1150
DPRQC,18,M,Manager,Single,,110000,Suburban,Mercedes,9,1.5,14000,3,3,3,2,Medium,1350
HNGIS,60,F,Retired,Divorced,PhD,70000,Rural,Mercedes,12,2.5,17000,0,4,0,34,Medium,700
KWNTK,60,M,Doctor,Divorced,,105000,Rural,BMW,2,2,11000,1,2,1,32,Low,1150
ZFMGB,50,F,Architect,Single,,30000,Suburban,Toyota,11,1.5,7000,1,4,2,21,Medium,1150
JDXXB,66,F,Retired,Divorced,Master,45000,Urban,Chevrolet,7,4,15000,3,0,0,11,Medium,800
XSTUR,33,F,Student,Married,PhD,140000,Urban,Toyota,7,1.5,10000,1,4,2,35,High,1150
PMBID,68,M,Architect,Married,PhD,55000,Suburban,Mercedes,14,4,16000,1,2,2,39,High,1150
VFZPH,25,F,Retired,Single,PhD,20000,Urban,Audi,11,3,10000,1,2,0,38,Medium,1100
SBANF,33,F,Engineer,Divorced,Bachelor,35000,Urban,Ford,12,2,8000,0,1,2,4,High,850
EEVOW,24,F,Teacher,Single,,20000,Rural,Tesla,5,3.5,5000,2,3,3,30,Low,1450
YIRBM,61,M,Doctor,Single,PhD,110000,Urban,BMW,7,3.5,10000,3,0,3,20,High,950
KVPBE,34,F,Architect,Married,PhD,85000,Rural,BMW,6,1.5,18000,1,4,2,30,Medium,1150
TEZLT,32,M,Architect,Widowed,Master,145000,Rural,Tesla,5,1.5,19000,0,3,3,1,Low,850
CHSTZ,58,F,Artist,Married,,85000,Rural,Toyota,10,1.5,11000,0,0,1,14,Low,650
KNWUS,24,F,Artist,Married,Master,45000,Suburban,Audi,7,1.5,14000,3,2,0,37,Medium,1200
UWKSV,64,M,Doctor,Widowed,Bachelor,70000,Rural,Honda,10,2,12000,1,2,1,4,Medium,1150
FOFMZ,47,M,Teacher,Single,Bachelor,45000,Rural,Audi,7,2.5,12000,1,3,1,30,Medium,1150
CCGGY,28,F,Artist,Single,Master,55000,Rural,Honda,5,4,16000,3,3,2,7,Medium,1150
CCQTD,24,F,Student,Single,Bachelor,110000,Suburban,Nissan,14,3.5,12000,2,0,3,26,Medium,1150
BDUDB,55,F,Artist,Widowed,,20000,Suburban,Tesla,4,2,6000,0,4,2,35,Medium,950
IWGGC,42,M,Student,Widowed,PhD,115000,Suburban,Audi,1,1.5,5000,3,3,0,23,Low,1000
ACXPV,38,M,Teacher,Married,,110000,Rural,Audi,3,4,11000,0,0,2,23,Low,650
JKMMO,43,M,Teacher,Divorced,Master,100000,Suburban,Chevrolet,4,1.5,13000,0,4,3,4,Medium,850
ENAXO,30,F,Doctor,Single,PhD,50000,Urban,Ford,7,3,9000,3,2,3,12,High,1150
ODZED,61,F,Artist,Single,PhD,80000,Rural,Audi,12,3,7000,1,1,0,26,Medium,1000
UJLIT,42,M,Doctor,Widowed,Master,90000,Rural,Honda,9,1.5,5000,3,2,3,26,Low,1150
GYTJR,19,F,Engineer,Single,Bachelor,80000,Urban,Nissan,8,1.5,12000,1,2,2,3,High,1350
WOZAY,20,F,Engineer,Divorced,Master,55000,Rural,Audi,14,3,19000,3,2,0,20,Medium,1200
JKGJN,18,F,Doctor,Single,PhD,35000,Rural,Mercedes,6,2,15000,0,1,2,7,Low,1050
WKPFG,21,M,Artist,Widowed,Master,30000,Rural,Mercedes,13,1.5,11000,1,4,0,33,Medium,1200
FSZAU,53,M,Engineer,Married,PhD,100000,Rural,Honda,13,2,9000,1,4,3,2,Medium,1150
KBWRR,37,M,Lawyer,Widowed,PhD,115000,Urban,Mercedes,8,2,16000,1,1,3,36,Low,1150
YJWLW,52,M,Lawyer,Single,Master,130000,Urban,Chevrolet,13,3,9000,0,0,2,29,Medium,650
RNJTP,63,M,Student,Divorced,PhD,65000,Suburban,BMW,12,3,18000,0,4,3,14,High,850
KLSIQ,47,M,Architect,Married,,140000,Rural,Honda,1,4,14000,3,3,2,9,Medium,1150
PRZPD,36,F,Engineer,Married,Bachelor,100000,Suburban,Mercedes,2,3.5,7000,2,3,2,7,Medium,1150
UOWYQ,19,M,Retired,Married,Bachelor,125000,Rural,Tesla,9,3.5,5000,3,0,2,33,Medium,1150
RAFAZ,30,F,Engineer,Married,Master,100000,Rural,Nissan,3,4,5000,0,0,1,12,Low,650
DXTZB,51,F,Manager,Widowed,,110000,Suburban,Toyota,7,3.5,15000,3,3,1,38,Medium,1150
CQAJP,27,M,Architect,Widowed,Master,125000,Suburban,Audi,3,4,18000,2,3,2,30,Medium,1150
VEVXN,59,F,Student,Widowed,,85000,Rural,Tesla,8,2.5,8000,2,4,0,21,Medium,1000
PIQOQ,61,F,Student,Widowed,Bachelor,80000,Suburban,Tesla,11,3,10000,3,2,1,21,Medium,1150
NAVSA,68,M,Doctor,Widowed,Master,30000,Suburban,Toyota,12,3.5,13000,0,1,0,13,High,700
LJSEJ,50,F,Teacher,Divorced,,135000,Urban,Toyota,12,4,15000,2,0,3,35,Medium,950
CLJCM,29,M,Retired,Widowed,Bachelor,40000,Urban,Chevrolet,11,1.5,16000,3,3,0,21,Medium,1000
CKUUR,38,F,Manager,Married,Master,50000,Urban,Tesla,7,4,16000,3,1,1,30,High,1150
YKHVH,24,M,Student,Widowed,Bachelor,55000,Suburban,Ford,3,2.5,18000,1,4,0,33,Medium,1200
CFJQN,35,M,Architect,Divorced,PhD,40000,Rural,Toyota,13,4,11000,0,0,3,11,High,650
XTKUO,43,M,Doctor,Divorced,Bachelor,50000,Urban,Toyota,7,2.5,18000,2,3,3,19,High,1150
CBHUW,29,M,Retired,Widowed,Master,70000,Suburban,Toyota,6,4,6000,3,0,0,2,Medium,800
YNARA,19,F,Teacher,Divorced,,30000,Suburban,Mercedes,5,3,11000,1,1,1,17,Medium,1350
MVLTJ,51,F,Artist,Widowed,Master,125000,Suburban,BMW,7,3.5,17000,2,3,0,6,Medium,1000
QDFEE,27,M,Retired,Divorced,,55000,Suburban,BMW,14,3.5,13000,3,1,2,21,Medium,1150
GWBAF,35,M,Retired,Widowed,Master,45000,Urban,Chevrolet,5,3,18000,1,1,0,24,High,1000
EFSGB,65,M,Engineer,Widowed,Master,110000,Suburban,Audi,6,3.5,14000,1,4,2,26,Medium,1150
QQLJZ,56,F,Artist,Widowed,Master,65000,Suburban,Nissan,6,2.5,8000,3,3,0,9,Medium,1000
YKHJJ,37,M,Architect,Single,PhD,85000,Rural,Chevrolet,9,2.5,6000,2,4,0,29,Medium,1000
NZPWD,25,M,Retired,Widowed,Bachelor,55000,Suburban,Chevrolet,2,1.5,15000,0,2,0,1,Low,700
MTKPZ,48,M,Engineer,Divorced,,75000,Rural,Nissan,8,2.5,11000,0,2,0,31,Medium,700
MMDCJ,67,F,Artist,Widowed,Bachelor,120000,Suburban,Toyota,7,3.5,10000,2,1,2,10,Medium,1150
SBXPX,60,M,Retired,Divorced,,45000,Rural,Audi,9,3.5,10000,0,3,3,3,High,850
